time	soil_moist(1)	SWE(1)
units	(mm)	(mm)
26938.04167	225	0
26938.08333	225	0
26938.125	225	0
26938.16667	225	0
26938.20833	225	0
26938.25	225	0
26938.29167	224.984	0
26938.33333	224.962	0
26938.375	224.939	0
26938.41667	224.917	0
26938.45833	224.895	0
26938.5	224.873	0
26938.54167	224.851	0
26938.58333	224.829	0
26938.625	224.807	0
26938.66667	224.791	0
26938.70833	224.791	0
26938.75	224.791	0
26938.79167	224.791	0
26938.83333	224.791	0
26938.875	224.791	0
26938.91667	224.791	0
26938.95833	224.791	0
26939	224.791	0
26939.04167	224.949	0
26939.08333	225.107	0
26939.125	225.266	0
26939.16667	225.329	0.0987777
26939.20833	225.329	0.263407
26939.25	225.329	0.428037
26939.29167	225.329	0.592666
26939.33333	225.413	0.669493
26939.375	225.572	0.669493
26939.41667	225.73	0.669493
26939.45833	225.888	0.669493
26939.5	226.047	0.669493
26939.54167	226.205	0.669493
26939.58333	226.363	0.669493
26939.625	226.522	0.669493
26939.66667	226.68	0.669493
26939.70833	226.838	0.669493
26939.75	226.997	0.669493
26939.79167	227.155	0.669493
26939.83333	227.313	0.669493
26939.875	227.472	0.669493
26939.91667	227.556	0.74632
26939.95833	227.693	0.768271
26940	227.693	0.9329
26940.04167	227.693	0.9329
26940.08333	227.693	0.9329
26940.125	227.693	0.9329
26940.16667	227.693	0.9329
26940.20833	227.693	0.9329
26940.25	227.693	0.9329
26940.29167	227.693	0.9329
26940.33333	227.693	0.9329
26940.375	227.693	0.9329
26940.41667	227.693	0.9329
26940.45833	227.693	0.9329
26940.5	227.693	0.9329
26940.54167	227.693	0.9329
26940.58333	227.693	0.9329
26940.625	227.693	0.9329
26940.66667	227.693	0.9329
26940.70833	227.693	0.9329
26940.75	227.693	0.9329
26940.79167	227.693	0.9329
26940.83333	227.693	0.9329
26940.875	227.693	0.9329
26940.91667	227.693	0.9329
26940.95833	227.693	0.9329
26941	227.732	0
26941.04167	227.771	0
26941.08333	227.81	0
26941.125	227.849	0
26941.16667	227.888	0
26941.20833	227.927	0
26941.25	227.965	0
26941.29167	228.004	0
26941.33333	228.043	0
26941.375	228.082	0
26941.41667	228.121	0
26941.45833	228.16	0
26941.5	228.199	0
26941.54167	228.238	0
26941.58333	228.276	0
26941.625	228.315	0
26941.66667	228.354	0
26941.70833	228.393	0
26941.75	228.432	0
26941.79167	228.471	0
26941.83333	228.51	0
26941.875	228.549	0
26941.91667	228.587	0
26941.95833	228.626	0
26942	228.626	0
26942.04167	228.626	0
26942.08333	228.626	0
26942.125	228.626	0
26942.16667	228.626	0
