time	cumDrift(1)	cumDrift(2)	cumDrift(3)	cumSno(1)	cumSubl(1)	cumSubl(2)	cumSubl(3)	SWE(1)	SWE(2)	SWE(3)
units	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)
26938.04167	0	0	0	0	0	0	0	0	0	0
26938.08333	0	0	0	0	0	0	0	0	0	0
26938.125	0	0	0	0	0	0	0	0	0	0
26938.16667	0	0	0	0	0	0	0	0	0	0
26938.20833	0	0	0	0	0	0	0	0	0	0
26938.25	0	0	0	0	0	0	0	0	0	0
26938.29167	0	0	0	0	0	0	0	0	0	0
26938.33333	0	0	0	0	0	0	0	0	0	0
26938.375	0	0	0	0	0	0	0	0	0	0
26938.41667	0	0	0	0	0	0	0	0	0	0
26938.45833	0	0	0	0	0	0	0	0	0	0
26938.5	0	0	0	0	0	0	0	0	0	0
26938.54167	0	0	0	0	0	0	0	0	0	0
26938.58333	0	0	0	0	0	0	0	0	0	0
26938.625	0	0	0	0	0	0	0	0	0	0
26938.66667	0	0	0	0	0	0	0	0	0	0
26938.70833	0	0	0	0	0	0	0	0	0	0
26938.75	0	0	0	0	0	0	0	0	0	0
26938.79167	0	0	0	0	0	0	0	0	0	0
26938.83333	0	0	0	0	0	0	0	0	0	0
26938.875	0	0	0	0	0	0	0	0	0	0
26938.91667	0	0	0	0	0	0	0	0	0	0
26938.95833	0	0	0	0	0	0	0	0	0	0
26939	0	0	0	0	0	0	0	0	0	0
26939.04167	0	0	0	0	0	0	0	0	0	0
26939.08333	0	0	0	0	0	0	0	0	0	0
26939.125	0	0	0	0	0	0	0	0	0	0
26939.16667	0	0	0	0	0	0	0	0	0	0
26939.20833	0	0	0	0	0	0	0	0	0	0
26939.25	0	0	0	0	0	0	0	0	0	0
26939.29167	0	0	0	0	0	0	0	0	0	0
26939.33333	0	0	0	0	0	0	0	0	0	0
26939.375	0	0	0	0	0	0	0	0	0	0
26939.41667	0	0	0	0	0	0	0	0	0	0
26939.45833	0	0	0	0	0	0	0	0	0	0
26939.5	0	0	0	0	0	0	0	0	0	0
26939.54167	0	0	0	0	0	0	0	0	0	0
26939.58333	0	0	0	0	0	0	0	0	0	0
26939.625	0	0	0	0	0	0	0	0	0	0
26939.66667	0	0	0	0	0	0	0	0	0	0
26939.70833	0	0	0	0	0	0	0	0	0	0
26939.75	0	0	0	0	0	0	0	0	0	0
26939.79167	0	0	0	0	0	0	0	0	0	0
26939.83333	0	0	0	0	0	0	0	0	0	0
26939.875	0	0	0	0	0	0	0	0	0	0
26939.91667	0	0	0	0	0	0	0	0	0	0
26939.95833	0	0	0	0	0	0	0	0	0	0
26940	0	0	0	0	0	0	0	0	0	0
26940.04167	0	0	0	0	0	0	0	0	0	0
26940.08333	0	0	0	0	0	0	0	0	0	0
26940.125	0	0	0	0	0	0	0	0	0	0
26940.16667	0	0	0	0	0	0	0	0	0	0
26940.20833	0	0	0	0	0	0	0	0	0	0
26940.25	0	0	0	0	0	0	0	0	0	0
26940.29167	0	0	0	0	0	0	0	0	0	0
26940.33333	0	0	0	0	0	0	0	0	0	0
26940.375	0	0	0	0	0	0	0	0	0	0
26940.41667	0	0	0	0	0	0	0	0	0	0
26940.45833	0	0	0	0	0	0	0	0	0	0
26940.5	0	0	0	0	0	0	0	0	0	0
26940.54167	0	0	0	0	0	0	0	0	0	0
26940.58333	0	0	0	0	0	0	0	0	0	0
26940.625	0	0	0	0	0	0	0	0	0	0
26940.66667	0	0	0	0	0	0	0	0	0	0
26940.70833	0	0	0	0	0	0	0	0	0	0
26940.75	0	0	0	0	0	0	0	0	0	0
26940.79167	0	0	0	0	0	0	0	0	0	0
26940.83333	0	0	0	0	0	0	0	0	0	0
26940.875	0	0	0	0	0	0	0	0	0	0
26940.91667	0	0	0	0	0	0	0	0	0	0
26940.95833	0	0	0	0	0	0	0	0	0	0
26941	0	0	0	0	0	0	0	0	0	0
26941.04167	0	0	0	0	0	0	0	0	0	0
26941.08333	0	0	0	0	0	0	0	0	0	0
26941.125	0	0	0	0	0	0	0	0	0	0
26941.16667	0	0	0	0	0	0	0	0	0	0
26941.20833	0	0	0	0	0	0	0	0	0	0
26941.25	0	0	0	0	0	0	0	0	0	0
26941.29167	0	0	0	0	0	0	0	0	0	0
26941.33333	0	0	0	0	0	0	0	0	0	0
26941.375	0	0	0	0	0	0	0	0	0	0
26941.41667	0	0	0	0	0	0	0	0	0	0
26941.45833	0	0	0	0	0	0	0	0	0	0
26941.5	0	0	0	0	0	0	0	0	0	0
26941.54167	0	0	0	0	0	0	0	0	0	0
26941.58333	0	0	0	0	0	0	0	0	0	0
26941.625	0	0	0	0	0	0	0	0	0	0
26941.66667	0	0	0	0	0	0	0	0	0	0
26941.70833	0	0	0	0	0	0	0	0	0	0
26941.75	0	0	0	0	0	0	0	0	0	0
26941.79167	0	0	0	0	0	0	0	0	0	0
26941.83333	0	0	0	0	0	0	0	0	0	0
26941.875	0	0	0	0	0	0	0	0	0	0
26941.91667	0	0	0	0	0	0	0	0	0	0
26941.95833	0	0	0	0	0	0	0	0	0	0
26942	0	0	0	0	0	0	0	0	0	0
26942.04167	0	0	0	0	0	0	0	0	0	0
26942.08333	0	0	0	0	0	0	0	0	0	0
26942.125	0	0	0	0	0	0	0	0	0	0
26942.16667	0	0	0	0	0	0	0	0	0	0
26942.20833	0	0	0	0	0	0	0	0	0	0
26942.25	0	0	0	0	0	0	0	0	0	0
26942.29167	0	0	0	0	0	0	0	0	0	0
26942.33333	0	0	0	0	0	0	0	0	0	0
26942.375	0	0	0	0	0	0	0	0	0	0
26942.41667	0	0	0	0	0	0	0	0	0	0
