time	soil_moist(1)	soil_moist(2)	soil_moist(3)	soil_rechr(1)	soil_rechr(2)	soil_rechr(3)	SWE(1)	SWE(2)	SWE(3)
26938.04167	225	225	225	45	45	45	0	0	0
26938.08333	225	225	225	45	45	45	0	0	0
26938.125	225	225	225	45	45	45	0	0	0
26938.16667	225	225	225	45	45	45	0	0	0
26938.20833	225	225	225	45	45	45	0	0	0
26938.25	225	225	225	45	45	45	0	0	0
26938.29167	224.984	224.962	224.962	44.9837	44.9621	44.9616	0	0	0
26938.33333	224.962	224.914	224.913	44.9619	44.9138	44.9127	0	0	0
26938.375	224.939	224.863	224.861	44.939	44.8628	44.8611	0	0	0
26938.41667	224.917	224.812	224.81	44.9168	44.8125	44.8101	0	0	0
26938.45833	224.895	224.763	224.76	44.8951	44.7627	44.7597	0	0	0
26938.5	224.873	224.713	224.709	44.8734	44.713	44.7093	0	0	0
26938.54167	224.851	224.663	224.659	44.8514	44.6628	44.6586	0	0	0
26938.58333	224.829	224.612	224.607	44.8288	44.6121	44.6072	0	0	0
26938.625	224.807	224.564	224.558	44.8072	44.5637	44.5582	0	0	0
26938.66667	224.791	224.525	224.519	44.7906	44.5248	44.5188	0	0	0
26938.70833	224.791	224.522	224.516	44.7906	44.5224	44.5163	0	0	0
26938.75	224.791	224.522	224.516	44.7906	44.5224	44.5163	0	0	0
26938.79167	224.791	224.522	224.516	44.7906	44.5224	44.5163	0	0	0
26938.83333	224.791	224.522	224.516	44.7906	44.5224	44.5163	0	0	0
26938.875	224.791	224.522	224.516	44.7906	44.5224	44.5163	0	0	0
26938.91667	224.791	224.522	224.516	44.7906	44.5224	44.5163	0	0	0
26938.95833	224.791	224.522	224.516	44.7906	44.5224	44.5163	0	0	0
26939	224.791	224.522	224.516	44.7906	44.5224	44.5163	0	0	0
26939.04167	224.949	224.681	224.675	44.949	44.6807	44.6747	0	0	0
26939.08333	225.107	224.839	224.833	45.1073	44.839	44.833	0	0	0
26939.125	225.266	224.997	224.991	45.2656	44.9973	44.9913	0	0	0
26939.16667	225.329	225.061	225.055	45.329	45.0607	45.0546	0.0987777	0.0987777	0.0987777
26939.20833	225.329	225.061	225.055	45.329	45.0607	45.0546	0.263407	0.263407	0.263407
26939.25	225.329	225.061	225.055	45.329	45.0607	45.0546	0.428037	0.428037	0.428037
26939.29167	225.329	225.061	225.055	45.329	45.0607	45.0546	0.592666	0.592666	0.592666
26939.33333	225.413	225.145	225.139	45.4134	45.1451	45.1391	0.669493	0.669493	0.669493
26939.375	225.572	225.303	225.297	45.5717	45.3035	45.2974	0.669493	0.669493	0.669493
26939.41667	225.73	225.462	225.456	45.7301	45.4618	45.4558	0.669493	0.669493	0.669493
26939.45833	225.888	225.62	225.614	45.8884	45.6201	45.6141	0.669493	0.669493	0.669493
26939.5	226.047	225.778	225.772	46.0467	45.7785	45.7724	0.669493	0.669493	0.669493
26939.54167	226.205	225.937	225.931	46.2051	45.9368	45.9308	0.669493	0.669493	0.669493
26939.58333	226.363	226.095	226.089	46.3634	46.0951	46.0891	0.669493	0.669493	0.669493
26939.625	226.522	226.253	226.247	46.5217	46.2535	46.2474	0.669493	0.669493	0.669493
26939.66667	226.68	226.412	226.406	46.6801	46.4118	46.4058	0.669493	0.669493	0.669493
26939.70833	226.838	226.57	226.564	46.8384	46.5701	46.5641	0.669493	0.669493	0.669493
26939.75	226.997	226.728	226.722	46.9967	46.7285	46.7224	0.669493	0.669493	0.669493
26939.79167	227.155	226.887	226.881	47.1551	46.8868	46.8808	0.669493	0.669493	0.669493
26939.83333	227.313	227.045	227.039	47.3134	47.0451	47.0391	0.669493	0.669493	0.669493
26939.875	227.472	227.203	227.197	47.4717	47.2035	47.1974	0.669493	0.669493	0.669493
26939.91667	227.556	227.288	227.282	47.5562	47.2879	47.2819	0.74632	0.74632	0.74632
26939.95833	227.693	227.425	227.419	47.6934	47.4251	47.4191	0.768271	0.768271	0.768271
26940	227.693	227.425	227.419	47.6934	47.4251	47.4191	0.9329	0.9329	0.9329
26940.04167	227.693	227.425	227.419	47.6934	47.4251	47.4191	0.9329	0.9329	0.9329
26940.08333	227.693	227.425	227.419	47.6934	47.4251	47.4191	0.9329	0.9329	0.9329
26940.125	227.693	227.425	227.419	47.6934	47.4251	47.4191	0.9329	0.9329	0.9329
26940.16667	227.693	227.425	227.419	47.6934	47.4251	47.4191	0.9329	0.9329	0.9329
26940.20833	227.693	227.425	227.419	47.6934	47.4251	47.4191	0.9329	0.9329	0.9329
26940.25	227.693	227.425	227.419	47.6934	47.4251	47.4191	0.9329	0.9329	0.9329
26940.29167	227.693	227.425	227.419	47.6934	47.4251	47.4191	0.9329	0.9329	0.9329
26940.33333	227.693	227.425	227.419	47.6934	47.4251	47.4191	0.9329	0.9329	0.9329
26940.375	227.693	227.425	227.419	47.6934	47.4251	47.4191	0.9329	0.9329	0.9329
26940.41667	227.693	227.425	227.419	47.6934	47.4251	47.4191	0.9329	0.9329	0.9329
26940.45833	227.693	227.425	227.419	47.6934	47.4251	47.4191	0.9329	0.9329	0.9329
26940.5	227.693	227.425	227.419	47.6934	47.4251	47.4191	0.9329	0.9329	0.9329
26940.54167	227.693	227.425	227.419	47.6934	47.4251	47.4191	0.9329	0.9329	0.9329
26940.58333	227.693	227.425	227.419	47.6934	47.4251	47.4191	0.9329	0.9329	0.9329
26940.625	227.693	227.425	227.419	47.6934	47.4251	47.4191	0.9329	0.9329	0.9329
26940.66667	227.693	227.425	227.419	47.6934	47.4251	47.4191	0.9329	0.9329	0.9329
26940.70833	227.693	227.425	227.419	47.6934	47.4251	47.4191	0.9329	0.9329	0.9329
26940.75	227.693	227.425	227.419	47.6934	47.4251	47.4191	0.9329	0.9329	0.9329
26940.79167	227.693	227.425	227.419	47.6934	47.4251	47.4191	0.9329	0.9329	0.9329
26940.83333	227.693	227.425	227.419	47.6934	47.4251	47.4191	0.9329	0.9329	0.9329
26940.875	227.693	227.425	227.419	47.6934	47.4251	47.4191	0.9329	0.9329	0.9329
26940.91667	227.693	227.425	227.419	47.6934	47.4251	47.4191	0.9329	0.9329	0.9329
26940.95833	227.693	227.425	227.419	47.6934	47.4251	47.4191	0.9329	0.9329	0.9329
26941	227.732	227.464	227.458	47.7323	47.464	47.458	0	0	0
26941.04167	227.771	227.503	227.497	47.7711	47.5029	47.4968	0	0	0
26941.08333	227.81	227.542	227.536	47.81	47.5417	47.5357	0	0	0
26941.125	227.849	227.581	227.575	47.8489	47.5806	47.5746	0	0	0
26941.16667	227.888	227.619	227.613	47.8878	47.6195	47.6134	0	0	0
26941.20833	227.927	227.658	227.652	47.9266	47.6584	47.6523	0	0	0
26941.25	227.965	227.697	227.691	47.9655	47.6972	47.6912	0	0	0
26941.29167	228.004	227.736	227.73	48.0044	47.7361	47.7301	0	0	0
26941.33333	228.043	227.775	227.769	48.0432	47.775	47.7689	0	0	0
26941.375	228.082	227.814	227.808	48.0821	47.8138	47.8078	0	0	0
26941.41667	228.121	227.853	227.847	48.121	47.8527	47.8467	0	0	0
26941.45833	228.16	227.892	227.886	48.1599	47.8916	47.8856	0	0	0
26941.5	228.199	227.93	227.924	48.1987	47.9305	47.9244	0	0	0
26941.54167	228.238	227.969	227.963	48.2376	47.9693	47.9633	0	0	0
26941.58333	228.276	228.008	228.002	48.2765	48.0082	48.0022	0	0	0
26941.625	228.315	228.047	228.041	48.3153	48.0471	48.041	0	0	0
26941.66667	228.354	228.086	228.08	48.3542	48.0859	48.0799	0	0	0
26941.70833	228.393	228.125	228.119	48.3931	48.1248	48.1188	0	0	0
26941.75	228.432	228.164	228.158	48.432	48.1637	48.1577	0	0	0
26941.79167	228.471	228.203	228.197	48.4708	48.2026	48.1965	0	0	0
26941.83333	228.51	228.241	228.235	48.5097	48.2414	48.2354	0	0	0
26941.875	228.549	228.28	228.274	48.5486	48.2803	48.2743	0	0	0
26941.91667	228.587	228.319	228.313	48.5875	48.3192	48.3131	0	0	0
26941.95833	228.626	228.358	228.352	48.6263	48.358	48.352	0	0	0
26942	228.626	228.358	228.352	48.6263	48.358	48.352	0	0	0
26942.04167	228.626	228.358	228.352	48.6263	48.358	48.352	0	0	0
26942.08333	228.626	228.358	228.352	48.6263	48.358	48.352	0	0	0
26942.125	228.626	228.358	228.352	48.6263	48.358	48.352	0	0	0
26942.16667	228.626	228.358	228.352	48.6263	48.358	48.352	0	0	0
26942.20833	228.626	228.358	228.352	48.6263	48.358	48.352	0	0	0
26942.25	228.626	228.358	228.352	48.6263	48.358	48.352	0	0	0
26942.29167	228.626	228.344	228.338	48.6263	48.3444	48.3378	0	0	0
26942.33333	228.626	228.292	228.283	48.6263	48.2915	48.2828	0	0	0
26942.375	228.626	228.209	228.197	48.6263	48.209	48.1971	0	0	0
26942.41667	228.626	228.107	228.091	48.6263	48.1068	48.0908	0	0	0
26942.45833	228.626	227.994	227.974	48.6263	47.9944	47.974	0	0	0
26942.5	228.626	227.883	227.858	48.6263	47.8826	47.8577	0	0	0
26942.54167	228.626	227.783	227.754	48.6263	47.7826	47.7537	0	0	0
26942.58333	228.626	227.705	227.673	48.6263	47.7051	47.6733	0	0	0
26942.625	228.626	227.66	227.626	48.6263	47.6596	47.6259	0	0	0
26942.66667	228.626	227.654	227.62	48.6263	47.6536	47.6197	0	0	0
26942.70833	228.626	227.654	227.62	48.6263	47.6536	47.6197	0	0	0
26942.75	228.626	227.654	227.62	48.6263	47.6536	47.6197	0	0	0
26942.79167	228.626	227.654	227.62	48.6263	47.6536	47.6197	0	0	0
26942.83333	228.626	227.654	227.62	48.6263	47.6536	47.6197	0	0	0
26942.875	228.626	227.654	227.62	48.6263	47.6536	47.6197	0	0	0
26942.91667	228.626	227.654	227.62	48.6263	47.6536	47.6197	0	0	0
