time	XOutVar(1)	XOutVar(2)	XOutVar(3)	Y(1)	Y(2)	Y(3)	Z(1)	Z(2)	Z(3)
26938.04167	0.052336	-0.052336	0.99999	0.618	0.67053	0.72512	3.09	3.193	3.296
26938.08333	0.104528	-0.104528	0.999958	0.558	0.60543	0.65472	2.79	2.883	2.976
26938.125	0.156434	-0.156434	0.999906	0.486	0.52731	0.57024	2.43	2.511	2.592
26938.16667	0.207912	-0.207912	0.999833	0.438	0.47523	0.51392	2.19	2.263	2.336
26938.20833	0.258819	-0.258819	0.999739	0.432	0.46872	0.50688	2.16	2.232	2.304
26938.25	0.309017	-0.309017	0.999624	0.408	0.44268	0.47872	2.04	2.108	2.176
26938.29167	0.358368	-0.358368	0.999489	0.408	0.44268	0.47872	2.04	2.108	2.176
26938.33333	0.406737	-0.406737	0.999332	0.444	0.48174	0.52096	2.22	2.294	2.368
26938.375	0.45399	-0.45399	0.999155	0.486	0.52731	0.57024	2.43	2.511	2.592
26938.41667	0.5	-0.5	0.998956	0.492	0.53382	0.57728	2.46	2.542	2.624
26938.45833	0.544639	-0.544639	0.998737	0.516	0.55986	0.60544	2.58	2.666	2.752
26938.5	0.587785	-0.587785	0.998497	0.51	0.55335	0.5984	2.55	2.635	2.72
26938.54167	0.62932	-0.62932	0.998236	0.528	0.57288	0.61952	2.64	2.728	2.816
26938.58333	0.669131	-0.669131	0.997955	0.552	0.59892	0.64768	2.76	2.852	2.944
26938.625	0.707107	-0.707107	0.997652	0.558	0.60543	0.65472	2.79	2.883	2.976
26938.66667	0.743145	-0.743145	0.997329	0.576	0.62496	0.67584	2.88	2.976	3.072
26938.70833	0.777146	-0.777146	0.996985	0.576	0.62496	0.67584	2.88	2.976	3.072
26938.75	0.809017	-0.809017	0.99662	0.57	0.61845	0.6688	2.85	2.945	3.04
26938.79167	0.838671	-0.838671	0.996234	0.546	0.59241	0.64064	2.73	2.821	2.912
26938.83333	0.866025	-0.866025	0.995827	0.522	0.56637	0.61248	2.61	2.697	2.784
26938.875	0.891007	-0.891007	0.9954	0.486	0.52731	0.57024	2.43	2.511	2.592
26938.91667	0.913545	-0.913545	0.994952	0.462	0.50127	0.54208	2.31	2.387	2.464
26938.95833	0.93358	-0.93358	0.994483	0.438	0.47523	0.51392	2.19	2.263	2.336
26939	0.951057	-0.951057	0.993993	0.372	0.40362	0.43648	1.86	1.922	1.984
26939.04167	0.965926	-0.965926	0.993483	0.342	0.37107	0.40128	1.71	1.767	1.824
26939.08333	0.978148	-0.978148	0.992951	0.33	0.35805	0.3872	1.65	1.705	1.76
26939.125	0.987688	-0.987688	0.9924	0.282	0.30597	0.33088	1.41	1.457	1.504
26939.16667	0.994522	-0.994522	0.991827	0.168	0.18228	0.19712	0.84	0.868	0.896
26939.20833	0.99863	-0.99863	0.991234	0.036	0.03906	0.04224	0.18	0.186	0.192
26939.25	1	-1	0.99062	0.012	0.01302	0.01408	0.06	0.062	0.064
26939.29167	0.99863	-0.99863	0.989985	0.048	0.05208	0.05632	0.24	0.248	0.256
26939.33333	0.994522	-0.994522	0.989329	0.144	0.15624	0.16896	0.72	0.744	0.768
26939.375	0.987688	-0.987688	0.988653	0.306	0.33201	0.35904	1.53	1.581	1.632
26939.41667	0.978148	-0.978148	0.987957	0.426	0.46221	0.49984	2.13	2.201	2.272
26939.45833	0.965926	-0.965926	0.987239	0.51	0.55335	0.5984	2.55	2.635	2.72
26939.5	0.951057	-0.951057	0.986501	0.606	0.65751	0.71104	3.03	3.131	3.232
26939.54167	0.93358	-0.93358	0.985743	0.534	0.57939	0.62656	2.67	2.759	2.848
26939.58333	0.913545	-0.913545	0.984964	0.546	0.59241	0.64064	2.73	2.821	2.912
26939.625	0.891007	-0.891007	0.984164	0.582	0.63147	0.68288	2.91	3.007	3.104
26939.66667	0.866025	-0.866025	0.983344	0.516	0.55986	0.60544	2.58	2.666	2.752
26939.70833	0.838671	-0.838671	0.982503	0.414	0.44919	0.48576	2.07	2.139	2.208
26939.75	0.809017	-0.809017	0.981642	0.384	0.41664	0.45056	1.92	1.984	2.048
26939.79167	0.777146	-0.777146	0.98076	0.384	0.41664	0.45056	1.92	1.984	2.048
26939.83333	0.743145	-0.743145	0.979858	0.366	0.39711	0.42944	1.83	1.891	1.952
26939.875	0.707107	-0.707107	0.978935	0.288	0.31248	0.33792	1.44	1.488	1.536
26939.91667	0.669131	-0.669131	0.977992	0.144	0.15624	0.16896	0.72	0.744	0.768
26939.95833	0.62932	-0.62932	0.977029	0.084	0.09114	0.09856	0.42	0.434	0.448
26940	0.587785	-0.587785	0.976045	0.03	0.03255	0.0352	0.15	0.155	0.16
26940.04167	0.544639	-0.544639	0.97504	0.006	0.00651	0.00704	0.03	0.031	0.032
26940.08333	0.5	-0.5	0.974016	0.036	0.03906	0.04224	0.18	0.186	0.192
26940.125	0.45399	-0.45399	0.972971	-0.042	-0.04557	-0.04928	-0.21	-0.217	-0.224
26940.16667	0.406737	-0.406737	0.971905	-0.06	-0.0651	-0.0704	-0.3	-0.31	-0.32
26940.20833	0.358368	-0.358368	0.97082	-0.084	-0.09114	-0.09856	-0.42	-0.434	-0.448
26940.25	0.309017	-0.309017	0.969714	-0.102	-0.11067	-0.11968	-0.51	-0.527	-0.544
26940.29167	0.258819	-0.258819	0.968588	-0.096	-0.10416	-0.11264	-0.48	-0.496	-0.512
26940.33333	0.207912	-0.207912	0.967441	-0.012	-0.01302	-0.01408	-0.06	-0.062	-0.064
26940.375	0.156434	-0.156434	0.966275	0.15	0.16275	0.176	0.75	0.775	0.8
26940.41667	0.104528	-0.104528	0.965088	0.342	0.37107	0.40128	1.71	1.767	1.824
26940.45833	0.052336	-0.052336	0.963881	0.51	0.55335	0.5984	2.55	2.635	2.72
26940.5	1.22461E-16	-2.44921E-16	0.962654	0.636	0.69006	0.74624	3.18	3.286	3.392
26940.54167	-0.052336	0.052336	0.961407	0.726	0.78771	0.85184	3.63	3.751	3.872
26940.58333	-0.104528	0.104528	0.96014	0.804	0.87234	0.94336	4.02	4.154	4.288
26940.625	-0.156434	0.156434	0.958853	0.834	0.90489	0.97856	4.17	4.309	4.448
26940.66667	-0.207912	0.207912	0.957545	0.852	0.92442	0.99968	4.26	4.402	4.544
26940.70833	-0.258819	0.258819	0.956218	0.846	0.91791	0.99264	4.23	4.371	4.512
26940.75	-0.309017	0.309017	0.954871	0.732	0.79422	0.85888	3.66	3.782	3.904
26940.79167	-0.358368	0.358368	0.953504	0.522	0.56637	0.61248	2.61	2.697	2.784
26940.83333	-0.406737	0.406737	0.952117	0.36	0.3906	0.4224	1.8	1.86	1.92
26940.875	-0.45399	0.45399	0.95071	0.312	0.33852	0.36608	1.56	1.612	1.664
26940.91667	-0.5	0.5	0.949283	0.294	0.31899	0.34496	1.47	1.519	1.568
26940.95833	-0.544639	0.544639	0.947837	0.216	0.23436	0.25344	1.08	1.116	1.152
26941	-0.587785	0.587785	0.94637	0.186	0.20181	0.21824	0.93	0.961	0.992
26941.04167	-0.62932	0.62932	0.944884	0.168	0.18228	0.19712	0.84	0.868	0.896
26941.08333	-0.669131	0.669131	0.943378	0.138	0.14973	0.16192	0.69	0.713	0.736
26941.125	-0.707107	0.707107	0.941853	0.168	0.18228	0.19712	0.84	0.868	0.896
26941.16667	-0.743145	0.743145	0.940307	0.09	0.09765	0.1056	0.45	0.465	0.48
26941.20833	-0.777146	0.777146	0.938743	0.042	0.04557	0.04928	0.21	0.217	0.224
26941.25	-0.809017	0.809017	0.937158	0.012	0.01302	0.01408	0.06	0.062	0.064
26941.29167	-0.838671	0.838671	0.935554	-0.048	-0.05208	-0.05632	-0.24	-0.248	-0.256
26941.33333	-0.866025	0.866025	0.933931	0.012	0.01302	0.01408	0.06	0.062	0.064
26941.375	-0.891007	0.891007	0.932288	0.246	0.26691	0.28864	1.23	1.271	1.312
26941.41667	-0.913545	0.913545	0.930625	0.528	0.57288	0.61952	2.64	2.728	2.816
26941.45833	-0.93358	0.93358	0.928943	0.702	0.76167	0.82368	3.51	3.627	3.744
26941.5	-0.951057	0.951057	0.927242	0.78	0.8463	0.9152	3.9	4.03	4.16
26941.54167	-0.965926	0.965926	0.925521	0.828	0.89838	0.97152	4.14	4.278	4.416
26941.58333	-0.978148	0.978148	0.923781	0.882	0.95697	1.03488	4.41	4.557	4.704
26941.625	-0.987688	0.987688	0.922022	0.906	0.98301	1.06304	4.53	4.681	4.832
26941.66667	-0.994522	0.994522	0.920243	0.888	0.96348	1.04192	4.44	4.588	4.736
26941.70833	-0.99863	0.99863	0.918445	0.864	0.93744	1.01376	4.32	4.464	4.608
26941.75	-1	1	0.916628	0.744	0.80724	0.87296	3.72	3.844	3.968
26941.79167	-0.99863	0.99863	0.914792	0.606	0.65751	0.71104	3.03	3.131	3.232
26941.83333	-0.994522	0.994522	0.912937	0.462	0.50127	0.54208	2.31	2.387	2.464
26941.875	-0.987688	0.987688	0.911063	0.384	0.41664	0.45056	1.92	1.984	2.048
26941.91667	-0.978148	0.978148	0.90917	0.288	0.31248	0.33792	1.44	1.488	1.536
26941.95833	-0.965926	0.965926	0.907257	0.228	0.24738	0.26752	1.14	1.178	1.216
26942	-0.951057	0.951057	0.905326	0.222	0.24087	0.26048	1.11	1.147	1.184
26942.04167	-0.93358	0.93358	0.903376	0.15	0.16275	0.176	0.75	0.775	0.8
26942.08333	-0.913545	0.913545	0.901407	0.096	0.10416	0.11264	0.48	0.496	0.512
26942.125	-0.891007	0.891007	0.899419	0.102	0.11067	0.11968	0.51	0.527	0.544
26942.16667	-0.866025	0.866025	0.897413	0.108	0.11718	0.12672	0.54	0.558	0.576
26942.20833	-0.838671	0.838671	0.895388	0.102	0.11067	0.11968	0.51	0.527	0.544
26942.25	-0.809017	0.809017	0.893344	0.096	0.10416	0.11264	0.48	0.496	0.512
26942.29167	-0.777146	0.777146	0.891281	0.102	0.11067	0.11968	0.51	0.527	0.544
26942.33333	-0.743145	0.743145	0.8892	0.132	0.14322	0.15488	0.66	0.682	0.704
26942.375	-0.707107	0.707107	0.8871	0.336	0.36456	0.39424	1.68	1.736	1.792
26942.41667	-0.669131	0.669131	0.884982	0.564	0.61194	0.66176	2.82	2.914	3.008
26942.45833	-0.62932	0.62932	0.882845	0.738	0.80073	0.86592	3.69	3.813	3.936
26942.5	-0.587785	0.587785	0.88069	0.87	0.94395	1.0208	4.35	4.495	4.64
26942.54167	-0.544639	0.544639	0.878516	0.99	1.07415	1.1616	4.95	5.115	5.28
